family,substrate,tau_drive_steps,arm,band_k,seed,n,ipc
mass-spring,spring-fast (omega 2.0),1.67,B-drive,8,20260836,350,1.229
mass-spring,spring-mid (omega 0.6),5.56,A-readout,1,20260836,350,4.088
mass-spring,spring-mid (omega 0.6),5.56,B-drive,1,20260836,350,4.088
mass-spring,spring-mid (omega 0.6),5.56,A-readout,2,20260836,350,4.184
mass-spring,spring-mid (omega 0.6),5.56,B-drive,2,20260836,350,5.591
mass-spring,spring-mid (omega 0.6),5.56,A-readout,4,20260836,350,2.699
mass-spring,spring-mid (omega 0.6),5.56,B-drive,4,20260836,350,6.0
mass-spring,spring-mid (omega 0.6),5.56,A-readout,8,20260836,350,0.828
mass-spring,spring-mid (omega 0.6),5.56,B-drive,8,20260836,350,3.951
mass-spring,spring-slow (omega 0.2),16.67,A-readout,1,20260836,350,1.671
mass-spring,spring-slow (omega 0.2),16.67,B-drive,1,20260836,350,1.671
mass-spring,spring-slow (omega 0.2),16.67,A-readout,2,20260836,350,1.808
mass-spring,spring-slow (omega 0.2),16.67,B-drive,2,20260836,350,3.215
mass-spring,spring-slow (omega 0.2),16.67,A-readout,4,20260836,350,1.417
mass-spring,spring-slow (omega 0.2),16.67,B-drive,4,20260836,350,4.418
mass-spring,spring-slow (omega 0.2),16.67,A-readout,8,20260836,350,0.523
mass-spring,spring-slow (omega 0.2),16.67,B-drive,8,20260836,350,6.144
esn,esn-fast (leak 1.0),1.0,A-readout,1,20260837,350,7.905
esn,esn-fast (leak 1.0),1.0,B-drive,1,20260837,350,7.905
esn,esn-fast (leak 1.0),1.0,A-readout,2,20260837,350,5.473
esn,esn-fast (leak 1.0),1.0,B-drive,2,20260837,350,5.914
esn,esn-fast (leak 1.0),1.0,A-readout,4,20260837,350,2.528
esn,esn-fast (leak 1.0),1.0,B-drive,4,20260837,350,3.2
esn,esn-fast (leak 1.0),1.0,A-readout,8,20260837,350,1.547
esn,esn-fast (leak 1.0),1.0,B-drive,8,20260837,350,1.833
esn,esn-mid (leak 0.3),2.8,A-readout,1,20260837,350,2.65
esn,esn-mid (leak 0.3),2.8,B-drive,1,20260837,350,2.65
esn,esn-mid (leak 0.3),2.8,A-readout,2,20260837,350,2.334
esn,esn-mid (leak 0.3),2.8,B-drive,2,20260837,350,3.465
esn,esn-mid (leak 0.3),2.8,A-readout,4,20260837,350,0.875
esn,esn-mid (leak 0.3),2.8,B-drive,4,20260837,350,3.984
esn,esn-mid (leak 0.3),2.8,A-readout,8,20260837,350,0.841
esn,esn-mid (leak 0.3),2.8,B-drive,8,20260837,350,3.477
esn,esn-slow (leak 0.1),9.5,A-readout,1,20260837,350,1.764
esn,esn-slow (leak 0.1),9.5,B-drive,1,20260837,350,1.764
